,Great deal,Fair amount,Not very much,None at all,,Great deal/Fair amount
2021 sep 1-17,7,29,29,34,,36
2020 Aug 31-Sep 13,9,31,27,33,,40
2019 sep 3-15,13,28,30,28,,41
2018 sep 4-12,14,31,30,24,,45
2017 sep 6-10,13,28,29,29,,41
2016 sep 7-11,8,24,41,27,,32
2015 sep 9-13,7,33,36,24,,40
2014 sep 4-7,10,30,36,24,,40
2013 sep 5-8,11,33,33,22,,44
2012 sep 6-9,8,32,39,21,,40
2011 sep 8-11,11,33,36,19,,44
2010 sep 13-16,12,31,36,21,,43
2009 Aug 31-Sep 2,10,35,37,18,,45
2008 sep 8-11,9,34,35,21,,43
2007 sep 14-16,9,38,35,17,,47
2005 sep 12-15,13,37,37,12,,50
2004 sep 13-15,9,35,39,16,,44
2003 sep 8-10,14,40,35,11,,54
2002 sep 5-8,10,44,35,11,,54
2001 sep 7-10,12,41,33,14,,53
2000 Jul 6-9,12,39,37,12,,51
1999 Feb 4-8,11,44,34,11,,55
1998 Dec 28-29,11,44,35,9,,55
1997 May 30-Jun 1,10,43,31,15,,53
1976 Jun,18,54,22,4,,72
1974 Apr,21,48,21,8,,69
1972 May,18,50,24,6,,68
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,, ,,
